report_month,project_code,original_cost,expenditure,expenditure_ratio,physical_progress,previous_progress,progress_change,progress_velocity,previous_expenditure,expenditure_change,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,state,sector,ministry_final,agency_final,start_date,original_doc,future_time_delay
2025-02-01,701343,2658.34,2300.5,86.53896792735316,96.0,,,,,,,0,1,0,1,1,1,"Multi-States (Andhra Pradesh, Odisha)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,09/2019,,0
2025-07-01,701343,2658.34,2192.68,82.48305333403552,94.0,96.0,-2.0,-0.0133333333333333,2300.5,-107.82000000000016,-0.7188000000000011,1,2,150,1,1,1,"Multi-States (Andhra Pradesh, Odisha)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,0
2025-11-01,701343,2658.34,2282.98,85.87991001903444,96.0,96.0,0.0,0.0,2282.98,0.0,0.0,4,5,273,1,1,1,"Multi-States (Andhra Pradesh, Odisha)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,0
2025-12-01,701343,2658.34,2282.98,85.87991001903444,96.0,96.0,0.0,0.0,2282.98,0.0,0.0,5,6,303,1,1,1,"Multi-States (Andhra Pradesh, Odisha)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,0
2026-05-01,701343,2658.34,2315.2,87.09194459700413,97.6,96.0,1.5999999999999943,0.0105960264900661,2282.98,32.2199999999998,0.2133774834437072,6,7,454,1,1,1,"Multi-States (Andhra Pradesh, Odisha)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,09/2019,,0
2025-02-01,701354,7844.25,6932.1,88.37173725977627,97.0,,,,,,,0,1,0,1,1,1,"Multi-States (Chhattisgarh, Madhya Pradesh, Maharashtra, Odisha)",Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,06/2020,,1
2025-07-01,701354,7844.25,6495.6,82.80715173534755,95.0,97.0,-2.0,-0.0133333333333333,6932.1,-436.5,-2.91,1,2,150,1,1,1,"Multi-States (Chhattisgarh, Madhya Pradesh, Maharashtra, Odisha)",Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-11-01,701354,7844.25,6710.1,85.5416387799981,97.0,96.0,1.0,0.032258064516129,6661.2,48.90000000000055,1.5774193548387272,4,5,273,1,1,1,"Multi-States (Chhattisgarh, Madhya Pradesh, Maharashtra, Odisha)",Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-12-01,701354,7844.25,6857.3,87.41817254676994,97.0,97.0,0.0,0.0,6710.1,147.19999999999982,4.906666666666661,5,6,303,1,1,1,"Multi-States (Chhattisgarh, Madhya Pradesh, Maharashtra, Odisha)",Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-02-01,701406,1402.0,1839.76,131.22396576319545,100.0,,,,,,,0,1,0,1,1,1,Telangana,Water Resources,"Department of Water Resources, River Development & GR",Irrigation and CAD-TG,04/2007,,1
